,Circuit,D:SP,F:Depth,F:Width,F:2QGC
0,"[Gcnot:1:0Gcnot:2:3][Gcnot:1:0Gxpi:2Gypi2:3][Gcnot:0:1Gcnot:3:2][Gcnot:3:0Gxpi2:1Gxpi:2][Gxmpi2:0Gzpi:1Gypi:2Gxpi:3][Gcnot:0:1Gcnot:2:3][Gcnot:3:0Gypi2:1Gzpi:2][Gcnot:0:3Gcnot:1:2][Gcnot:0:1Gcnot:3:2]@(0,1,2,3)",0.9899564325088912,9,4,13
1,"[Gcnot:0:1Gxpi:2][Gcnot:1:2Gypi2:0][Gcnot:1:2Gxmpi2:0][Gcnot:1:2Gzpi:0][Gcnot:1:2Gypi2:0][Gcnot:1:0Gypi:2][Gcnot:2:1Gypi2:0][Gxmpi2:0Gympi2:1Gxpi2:2][Gcnot:2:1Gzpi:0][Gcnot:2:1Gzpi:0][Gxpi:0Gypi2:1Gxpi2:2][Gcnot:1:0Gypi2:2][Gcnot:1:0Gxmpi2:2][Gcnot:1:0Gypi:2][Gcnot:1:2Gxpi:0]@(0,1,2,3)",0.9843896201117692,15,4,13
2,"Gypi2:0Gzpi:0Gzpi:0Gypi:0Gxmpi2:0Gxpi2:0Gypi2:0Gypi2:0Gxpi2:0Gypi:0Gzpi:0Gypi:0Gympi2:0Gympi2:0Gxpi2:0Gypi2:0Gypi:0Gxmpi2:0Gympi2:0Gzpi:0Gypi:0Gxmpi2:0Gympi2:0Gxmpi2:0Gzpi:0Gzpi:0Gxmpi2:0Gzpi:0Gympi2:0Gypi:0Gzpi:0Gypi2:0Gypi2:0Gzpi:0Gxpi:0Gzpi:0Gypi:0Gypi2:0Gympi2:0Gxpi:0Gxmpi2:0Gypi:0Gypi2:0Gxpi2:0Gxpi:0Gypi:0Gxpi:0Gympi2:0Gxpi2:0Gypi2:0Gxpi:0Gxmpi2:0Gxpi:0Gympi2:0Gxpi2:0Gypi:0Gxpi:0Gzpi:0Gzpi:0Gxmpi2:0Gzpi:0Gypi2:0Gxpi2:0Gxmpi2:0Gypi2:0Gzpi:0Gxpi:0Gxpi:0Gypi:0Gxpi:0Gxpi:0Gzpi:0Gypi2:0Gypi:0Gxpi:0Gxpi2:0Gypi2:0Gzpi:0Gxmpi2:0Gxmpi2:0Gympi2:0Gzpi:0Gypi:0Gympi2:0Gzpi:0Gxpi2:0Gxpi2:0Gxpi:0Gxpi:0Gypi:0Gxpi:0Gypi2:0Gzpi:0Gypi2:0Gympi2:0Gympi2:0Gxpi2:0Gxmpi2:0Gxpi:0Gxpi2:0Gxpi:0Gypi:0Gypi2:0Gzpi:0Gxmpi2:0Gypi:0Gypi:0Gypi2:0@(0,1,2,3)",0.9834156187297712,108,4,0
3,"[Gympi2:0Gxpi2:1]Gcnot:1:0[Gxmpi2:0Gypi:1]Gcnot:0:1Gcnot:0:1[Gxmpi2:0Gxmpi2:1][Gympi2:0Gympi2:1][Gxmpi2:0Gympi2:1]Gcnot:1:0[Gxmpi2:0Gzpi:1][Gypi2:0Gxmpi2:1]Gcnot:0:1Gcnot:1:0[Gzpi:0Gypi:1]Gcnot:1:0Gcnot:1:0Gcnot:0:1[Gypi:0Gympi2:1]@(0,1,2,3)",0.98473901098438,18,4,9
4,"[Gympi2:0Gympi2:2Gxpi2:3][Gypi:0Gypi:2Gxpi2:3][Gzpi:0Gxmpi2:2Gzpi:3][Gypi2:0Gypi:2Gympi2:3]@(0,1,2,3)",0.9989294424380648,4,4,0
5,"Gzpi:1Gzpi:1Gxpi:1Gxmpi2:1Gypi2:1Gxpi2:1Gypi:1Gypi2:1Gzpi:1Gxmpi2:1Gxpi2:1Gxpi:1Gxmpi2:1Gxpi2:1Gxmpi2:1Gxmpi2:1Gxpi:1Gzpi:1Gxpi2:1Gxpi2:1Gxpi:1Gxpi2:1Gxmpi2:1Gypi2:1Gympi2:1Gypi2:1Gypi:1Gypi2:1Gxmpi2:1Gxpi:1Gympi2:1Gypi:1@(0,1,2,3)",0.9987739346885072,32,4,0
6,"[Gcnot:2:3Gypi:0Gypi:1][Gypi:0Gympi2:1Gxmpi2:2Gxpi2:3][Gcnot:0:3Gcnot:1:2][Gcnot:0:1Gzpi:2Gypi2:3][Gcnot:1:0Gcnot:3:2][Gcnot:2:1Gxpi:0Gxpi:3][Gcnot:0:3Gympi2:1Gympi2:2][Gcnot:1:0Gcnot:3:2][Gxpi2:0Gympi2:1Gxpi2:2Gxmpi2:3]@(0,1,2,3)",0.9919378228360204,9,4,10
7,"[Gcnot:0:3Gxpi2:1][Gcnot:0:3Gympi2:1][Gcnot:3:0Gxpi2:1][Gcnot:0:1Gypi2:3]@(0,1,2,3)",0.9959814658301516,4,4,4
8,"[Gcnot:2:1Gzpi:0Gzpi:3][Gcnot:3:2Gypi2:0Gzpi:1][Gcnot:2:1Gcnot:3:0][Gcnot:3:0Gypi:1Gxmpi2:2][Gcnot:2:1Gcnot:3:0][Gypi2:0Gympi2:1Gzpi:2Gxpi2:3][Gzpi:0Gxmpi2:1Gypi2:2Gypi:3][Gcnot:3:2Gypi2:0Gxpi:1][Gcnot:1:0Gcnot:3:2][Gcnot:0:3Gcnot:1:2][Gxpi2:0Gxpi:1Gypi2:2Gxmpi2:3][Gcnot:3:0Gypi2:1Gypi2:2][Gympi2:0Gympi2:1Gypi2:2Gxmpi2:3][Gcnot:0:3Gxmpi2:1Gzpi:2][Gcnot:0:3Gcnot:1:2][Gcnot:1:2Gypi:0Gxpi:3]@(0,1,2,3)",0.9881341719461166,16,4,17
9,"[Gxpi:0Gxpi:1Gympi2:2Gxpi2:3][Gypi:0Gzpi:1Gypi:2Gxpi:3][Gypi:0Gzpi:1Gzpi:2Gzpi:3][Gympi2:0Gxpi2:1Gxpi:2Gxpi:3][Gxmpi2:0Gypi:1Gzpi:2Gxpi:3]@(0,1,2,3)",0.9990074155907612,5,4,0
10,"[Gypi:0Gympi2:1Gxmpi2:2Gympi2:3]@(0,1,2,3)",0.99910471445514,1,4,0
11,"[Gcnot:2:3Gzpi:0][Gxmpi2:0Gypi:2Gypi:3][Gxmpi2:0Gxpi2:2Gypi2:3][Gxmpi2:0Gypi2:2Gxpi:3]@(0,1,2,3)",0.9981697258660722,4,4,1
12,"[Gcnot:3:0Gxpi:1][Gcnot:0:1Gypi:3][Gcnot:0:1Gxpi2:3][Gcnot:1:0Gypi:3][Gcnot:1:0Gxpi2:3][Gcnot:0:3Gympi2:1][Gcnot:0:3Gxpi:1][Gcnot:0:3Gzpi:1][Gcnot:3:0Gxmpi2:1][Gcnot:0:1Gxpi:3][Gcnot:0:3Gxmpi2:1][Gcnot:0:1Gzpi:3][Gcnot:3:0Gypi:1][Gcnot:3:0Gxpi:1][Gcnot:0:1Gympi2:3][Gcnot:0:1Gypi:3][Gcnot:1:0Gypi:3][Gcnot:1:0Gzpi:3][Gcnot:3:0Gxpi:1]@(0,1,2,3)",0.975858285007646,19,4,19
13,"[Gcnot:3:2Gypi2:0Gxpi:1][Gxpi2:0Gympi2:1Gypi2:2Gxmpi2:3][Gcnot:1:0Gympi2:2Gypi:3][Gxpi2:0Gypi:1Gympi2:2Gypi2:3][Gcnot:2:3Gypi2:0Gxpi2:1][Gcnot:2:3Gxmpi2:0Gxpi2:1][Gcnot:0:1Gcnot:3:2][Gcnot:2:1Gzpi:0Gypi:3][Gcnot:3:2Gzpi:0Gxpi2:1][Gcnot:0:3Gypi2:1Gxpi2:2][Gcnot:0:3Gypi:1Gympi2:2][Gzpi:0Gzpi:1Gxmpi2:2Gxmpi2:3][Gcnot:0:1Gxpi2:2Gympi2:3][Gcnot:2:3Gympi2:0Gxpi2:1][Gcnot:0:1Gcnot:3:2][Gcnot:1:0Gypi:2Gypi2:3][Gcnot:0:3Gzpi:1Gypi2:2][Gcnot:0:1Gxmpi2:2Gxmpi2:3][Gcnot:1:0Gxpi2:2Gzpi:3][Gcnot:0:3Gcnot:2:1]@(0,1,2,3)",0.971164412747233,20,4,20
