,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,total_shots,total_kept_shots,total_discarded_shots,mum_mcs,shots_per_mc,start_time,end_time
0,8,512,0.8079,0.0086,0.7937,1,,,,2000,2000,0,10,200,,
1,12,1320,0.6312,0.0131,0.6096,1,352.7817843,,885.4665753745659,2000,2000,0,10,200,2026-08-29 17:00:28,2026-08-29 18:39:51
2,12,1392,0.6119,0.0083,0.5983,1,223.7021355,,597.4605351972072,2000,2000,0,10,200,2026-08-29 22:41:19,2026-08-30 01:16:38
3,12,1488,0.5784,0.008,0.5652,1,245.6838748,,734.3787208572702,2000,2000,0,10,200,2026-08-30 09:07:26,2026-08-30 11:22:31
4,16,1024,0.6081,0.0171,0.5799,1,,,,2000,2000,0,10,200,,
5,16,1184,0.5774,0.0176,0.5484,1,,,,2000,2000,0,10,200,,
6,16,1344,0.5206,0.0234,0.4821,1,,,,2000,2000,0,10,200,,
7,16,1504,0.4775,0.0143,0.4539,1,,,,2000,2000,0,10,200,,
8,16,1664,0.3986,0.0179,0.3691,1,,,,2000,2000,0,10,200,,
9,32,640,0.6608,0.0128,0.6397,1,,,,2000,2000,0,10,200,,
10,32,960,0.5364,0.0084,0.5226,1,,,,2000,2000,0,10,200,,
11,56,224,0.8462,0.01106383,0.828,1,,,,2000,2000,0,10,200,,
12,56,448,0.7883,0.011246201,0.7698,1,,,,2000,2000,0,10,200,,
