Circuit,D:SP,F:Depth,F:Width,F:2QGC
"[Gcnot:0:3Gympi2:2][Gcnot:2:3Gxpi2:0][Gcnot:2:3Gzpi:0]@(0,1,2,3)",0.996419977725254,3,4,3
"[Gypi2:0Gxpi2:1Gxmpi2:2Gzpi:3][Gcnot:1:0Gympi2:2Gypi2:3][Gxpi2:0Gxpi2:1Gxpi:2Gxpi:3][Gxmpi2:0Gypi:1Gxpi:2Gxmpi2:3][Gypi2:0Gympi2:1Gypi2:2Gxpi:3][Gypi2:0Gypi:1Gzpi:2Gypi:3][Gxmpi2:0Gxpi2:1Gypi:2Gypi:3][Gcnot:1:0Gypi:2Gxmpi2:3][Gxpi:0Gypi:1Gypi2:2Gxpi:3]@(0,1,2,3)",0.9947992955278344,9,4,2
"[Gcnot:2:3Gypi2:0][Gxpi2:0Gxmpi2:2Gxmpi2:3][Gcnot:0:3Gxpi:2][Gcnot:0:3Gympi2:2][Gcnot:2:3Gypi2:0][Gcnot:2:3Gzpi:0][Gcnot:0:3Gxpi:2][Gympi2:0Gypi2:2Gxpi:3][Gypi2:0Gxpi2:2Gypi:3][Gcnot:3:0Gympi2:2][Gcnot:3:0Gypi2:2][Gxmpi2:0Gympi2:2Gxpi:3][Gympi2:0Gxpi:2Gxpi2:3][Gzpi:0Gypi:2Gxpi:3][Gcnot:3:0Gxmpi2:2][Gcnot:0:3Gypi2:2][Gcnot:0:3Gypi:2][Gypi:0Gxmpi2:2Gympi2:3][Gypi:0Gxmpi2:2Gympi2:3][Gcnot:2:3Gympi2:0][Gcnot:0:3Gypi2:2][Gxpi2:0Gxpi2:2Gxmpi2:3]@(0,1,2,3)",0.9882733965358663,22,4,13
"Gcnot:3:2[Gxpi2:2Gxpi2:3][Gypi:2Gympi2:3][Gypi:2Gympi2:3][Gxpi2:2Gzpi:3]Gcnot:3:2[Gzpi:2Gxmpi2:3][Gypi:2Gympi2:3][Gxmpi2:2Gxmpi2:3]Gcnot:3:2Gcnot:3:2[Gypi:2Gxmpi2:3][Gypi2:2Gympi2:3]Gcnot:3:2[Gxpi:2Gympi2:3][Gypi:2Gxpi2:3][Gxmpi2:2Gypi2:3][Gzpi:2Gxmpi2:3][Gypi2:2Gypi2:3][Gypi:2Gypi2:3][Gxpi:2Gypi2:3][Gypi2:2Gypi:3][Gxpi:2Gxpi:3][Gxpi:2Gypi:3][Gxpi:2Gxpi2:3][Gzpi:2Gzpi:3][Gypi2:2Gzpi:3]Gcnot:2:3[Gypi2:2Gzpi:3]Gcnot:2:3[Gxmpi2:2Gxpi:3][Gxpi:2Gypi2:3][Gxpi2:2Gympi2:3]Gcnot:3:2Gcnot:2:3[Gypi2:2Gypi:3][Gxpi:2Gxpi2:3][Gzpi:2Gxpi:3][Gxpi2:2Gympi2:3][Gzpi:2Gypi2:3][Gzpi:2Gxpi:3]Gcnot:2:3@(0,1,2,3)",0.9878233774942771,42,4,10
"Gympi2:1Gypi:1Gypi2:1Gypi:1Gzpi:1Gzpi:1Gzpi:1Gxmpi2:1Gzpi:1Gxmpi2:1Gxpi:1Gympi2:1Gypi:1Gympi2:1Gzpi:1Gympi2:1Gypi:1Gzpi:1Gympi2:1Gympi2:1Gympi2:1Gxpi2:1Gxmpi2:1Gypi:1Gxpi:1Gypi2:1Gypi:1Gzpi:1Gypi2:1Gympi2:1Gzpi:1Gxmpi2:1Gxpi:1Gxpi2:1Gxpi2:1Gzpi:1Gympi2:1Gypi2:1Gypi2:1Gxpi2:1Gypi:1Gympi2:1Gzpi:1Gympi2:1Gxpi2:1Gxpi:1Gympi2:1@(0,1,2,3)",0.9973762512335256,47,4,0
"Gxmpi2:0Gypi2:0Gxpi2:0Gypi2:0Gympi2:0Gxpi:0Gypi:0Gypi:0Gypi2:0Gxpi2:0Gypi:0Gxpi:0Gypi2:0Gxpi:0Gzpi:0Gypi2:0Gypi:0Gypi2:0Gxpi2:0Gzpi:0Gypi:0Gympi2:0Gxmpi2:0Gzpi:0Gxpi:0Gxpi:0Gzpi:0Gypi:0Gxpi:0Gxmpi2:0Gypi2:0Gympi2:0Gzpi:0Gypi2:0Gypi:0Gzpi:0Gxmpi2:0Gypi:0Gxpi:0Gypi2:0Gxpi2:0Gzpi:0Gypi:0Gzpi:0Gxpi:0Gxmpi2:0Gypi2:0Gxpi2:0Gympi2:0Gzpi:0Gxmpi2:0Gypi2:0Gympi2:0Gxpi:0Gxpi2:0Gxpi2:0Gxpi2:0Gympi2:0Gypi2:0Gzpi:0Gxpi2:0Gypi2:0Gxpi:0Gxpi2:0Gypi:0Gxmpi2:0Gxpi:0Gypi:0Gzpi:0Gympi2:0Gypi2:0Gxpi2:0Gxpi2:0Gxmpi2:0Gzpi:0Gzpi:0Gzpi:0Gympi2:0Gxpi2:0Gympi2:0Gxpi:0Gzpi:0Gxpi:0Gxmpi2:0Gympi2:0Gxmpi2:0Gxmpi2:0Gxmpi2:0Gxpi2:0Gxpi:0Gxpi:0Gxpi2:0Gxpi:0Gxpi2:0Gxpi:0Gzpi:0Gzpi:0Gxmpi2:0Gxpi2:0Gzpi:0Gxmpi2:0Gxmpi2:0Gypi2:0Gypi:0Gympi2:0Gypi:0Gypi:0Gympi2:0Gzpi:0Gympi2:0Gzpi:0Gxpi2:0Gypi:0Gxpi2:0Gzpi:0Gxmpi2:0Gxpi:0Gypi2:0Gypi:0Gzpi:0Gypi2:0Gympi2:0Gympi2:0Gzpi:0Gxpi2:0Gzpi:0Gympi2:0Gxpi:0Gxmpi2:0Gzpi:0Gxpi2:0Gypi2:0Gxpi2:0Gypi2:0Gympi2:0Gzpi:0@(0,1,2,3)",0.993564957533108,136,4,0
"[Gypi:0Gypi:1Gzpi:2][Gypi2:0Gypi2:1Gypi2:2][Gympi2:0Gypi:1Gxpi2:2][Gzpi:0Gzpi:1Gxmpi2:2][Gypi2:0Gypi:1Gypi2:2][Gxmpi2:0Gzpi:1Gzpi:2][Gypi2:0Gxpi:1Gxpi:2][Gypi2:0Gympi2:1Gypi:2][Gxmpi2:0Gxpi:1Gzpi:2][Gxpi2:0Gzpi:1Gxpi2:2][Gxmpi2:0Gxmpi2:1Gympi2:2][Gympi2:0Gympi2:1Gypi2:2][Gxmpi2:0Gxpi:1Gympi2:2][Gxpi:0Gypi:1Gxpi2:2][Gxpi:0Gypi2:1Gzpi:2]@(0,1,2,3)",0.9913838047172856,15,4,0
"[Gypi2:1Gypi:2]Gcnot:2:1Gcnot:1:2[Gxpi:1Gxpi2:2][Gxpi:1Gympi2:2][Gxpi:1Gxpi2:2][Gypi:1Gxmpi2:2][Gxpi:1Gypi:2][Gxpi2:1Gzpi:2]Gcnot:2:1[Gypi:1Gzpi:2][Gypi2:1Gypi2:2][Gympi2:1Gxpi2:2]@(0,1,2,3)",0.9954756391532666,13,4,3
"Gzpi:0Gympi2:0Gxpi:0Gympi2:0Gxpi:0Gzpi:0Gzpi:0Gxpi2:0Gympi2:0Gxmpi2:0Gympi2:0Gxpi:0Gympi2:0Gxpi2:0Gxpi:0Gypi:0Gxmpi2:0Gzpi:0Gxpi:0Gypi2:0Gypi:0Gxmpi2:0Gzpi:0Gxmpi2:0Gympi2:0Gxpi2:0Gzpi:0Gympi2:0Gxpi:0Gxpi:0Gxpi2:0Gxpi:0Gypi2:0Gxmpi2:0Gzpi:0Gxpi2:0Gympi2:0Gxpi:0Gypi2:0Gypi:0Gxmpi2:0Gzpi:0Gxpi:0Gypi2:0Gypi2:0Gympi2:0Gxpi:0Gypi2:0Gypi:0Gympi2:0Gzpi:0Gypi2:0Gxpi2:0Gzpi:0Gxpi:0Gypi:0Gxpi:0Gympi2:0Gxpi2:0Gypi2:0Gypi:0Gypi2:0Gympi2:0Gxmpi2:0Gzpi:0Gxmpi2:0Gypi2:0Gypi2:0Gxpi:0@(0,1,2,3)",0.9922536608321018,69,4,0
"[Gcnot:1:2Gxpi:0Gypi:3][Gcnot:2:3Gzpi:0Gypi2:1][Gcnot:0:1Gxpi2:2Gypi:3][Gcnot:2:1Gxpi2:0Gxpi2:3][Gcnot:0:3Gcnot:2:1][Gcnot:2:1Gcnot:3:0][Gxpi2:0Gzpi:1Gypi2:2Gxpi2:3][Gympi2:0Gympi2:1Gxmpi2:2Gxmpi2:3][Gypi2:0Gxmpi2:1Gxpi:2Gxpi2:3][Gcnot:0:1Gypi2:2Gzpi:3][Gcnot:0:3Gcnot:1:2]@(0,1,2,3)",0.9850597911005702,11,4,11
