,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,raw_quops_rate_std_dev
0,4,7192,0.6067295300155934,0,0.6067295300155934,1.0,,,,
1,5,7190,0.6067981324614581,0,0.6067981324614581,1.0,,,,
2,6,7188,0.6068667400642402,0,0.6068667400642402,1.0,,,,
3,7,7196,0.6065923405955767,0,0.6065923405955767,1.0,,,,
4,8,7184,0.6070039707407442,0,0.6070039707407442,1.0,,,,
5,9,6966,0.6065686027598246,0,0.6065686027598246,1.0,,,,
6,10,6660,0.6066140395454171,0,0.6066140395454171,1.0,,,,
7,11,6358,0.6072766365327461,0,0.6072766365327461,1.0,,,,
8,12,6096,0.6071038849139158,0,0.6071038849139158,1.0,,,,
9,13,5850,0.6069245089065581,0,0.6069245089065581,1.0,,,,
10,14,5600,0.6075542103672298,0,0.6075542103672298,1.0,,,,
11,15,5400,0.6065624783715134,0,0.6065624783715134,1.0,,,,
12,16,5184,0.6068377091026878,0,0.6068377091026878,1.0,,,,
13,17,4964,0.6078943538429894,0,0.6078943538429894,1.0,,,,
14,18,4788,0.6073017607475919,0,0.6073017607475919,1.0,,,,
15,19,4598,0.6079235229418932,0,0.6079235229418932,1.0,,,,
16,20,4440,0.6073041527663139,0,0.6073041527663139,1.0,,,,
17,21,4284,0.6069929713135888,0,0.6069929713135888,1.0,,,,
18,22,4136,0.6066333080546898,0,0.6066333080546898,1.0,,,,
19,23,3956,0.6086722995434501,0,0.6086722995434501,1.0,,,,
20,24,3840,0.607162396280318,0,0.607162396280318,1.0,,,,
21,25,3700,0.6075503909260856,0,0.6075503909260856,1.0,,,,
22,26,3536,0.6100242380805556,0,0.6100242380805556,1.0,,,,
23,27,3456,0.6070343528413676,0,0.6070343528413676,1.0,,,,
24,28,3304,0.6095444325976134,0,0.6095444325976134,1.0,,,,
25,29,3190,0.6096727348259512,0,0.6096727348259512,1.0,,,,
26,30,3120,0.6066568687129392,0,0.6066568687129392,1.0,,,,
27,31,2976,0.6098615761540617,0,0.6098615761540617,1.0,,,,
28,32,2880,0.609532266667059,0,0.609532266667059,1.0,,,,
29,33,2772,0.6105622205543164,0,0.6105622205543164,1.0,,,,
30,34,2720,0.6068636015367623,0,0.6068636015367623,1.0,,,,
31,35,2590,0.610583179756233,0,0.610583179756233,1.0,,,,
32,36,2520,0.6089983333055619,0,0.6089983333055619,1.0,,,,
33,37,2442,0.6084081801206241,0,0.6084081801206241,1.0,,,,
34,38,2356,0.608903773376988,0,0.608903773376988,1.0,,,,
35,39,2262,0.6105866035535469,0,0.6105866035535469,1.0,,,,
36,40,2160,0.6135704426000577,0,0.6135704426000577,1.0,,,,
37,41,2132,0.6084340801607397,0,0.6084340801607397,1.0,,,,
38,42,2016,0.6137869834640889,0,0.6137869834640889,1.0,,,,
39,43,1978,0.6100709425873152,0,0.6100709425873152,1.0,,,,
40,44,1936,0.6068793827171017,0,0.6068793827171017,1.0,,,,
41,45,1800,0.6162555353235654,0,0.6162555353235654,1.0,,,,
42,46,1748,0.6149423899991899,0,0.6149423899991899,1.0,,,,
43,47,1692,0.6143583830072649,0,0.6143583830072649,1.0,,,,
44,48,1632,0.6145734834418225,0,0.6145734834418225,1.0,,,,
45,49,1568,0.6156659834411145,0,0.6156659834411145,1.0,,,,
46,50,1500,0.6177239289665422,0,0.6177239289665422,1.0,,,,
47,51,1428,0.6208468166428146,0,0.6208468166428146,1.0,,,,
48,52,1456,0.6072312393966557,0,0.6072312393966557,1.0,,,,
49,53,1378,0.6117043043071873,0,0.6117043043071873,1.0,,,,
50,54,1296,0.6175309319158424,0,0.6175309319158424,1.0,,,,
51,55,1210,0.6248676828075672,0,0.6248676828075672,1.0,,,,
52,56,1232,0.6112970011687462,0,0.6112970011687462,1.0,,,,
53,57,1140,0.6206581232837168,0,0.6206581232837168,1.0,,,,
54,58,1160,0.6067564844586799,0,0.6067564844586799,1.0,,,,
55,59,1062,0.6185096889325672,0,0.6185096889325672,1.0,,,,
56,60,960,0.6326170893974097,0,0.6326170893974097,1.0,,,,
57,61,976,0.6189138683616939,0,0.6189138683616939,1.0,,,,
58,62,868,0.6363545843451184,0,0.6363545843451184,1.0,,,,
59,63,882,0.6225158788271911,0,0.6225158788271911,1.0,,,,
60,64,896,0.6078384360407209,0,0.6078384360407209,1.0,,,,
61,65,780,0.6301839560512563,0,0.6301839560512563,1.0,,,,
62,66,792,0.6154134443242312,0,0.6154134443242312,1.0,,,,
63,67,670,0.6431173068895862,0,0.6431173068895862,1.0,,,,
64,68,680,0.6284392208172302,0,0.6284392208172302,1.0,,,,
65,69,690,0.6126690570743728,0,0.6126690570743728,1.0,,,,
66,70,560,0.6487538538945281,0,0.6487538538945281,1.0,,,,
67,71,568,0.6332948032710791,0,0.6332948032710791,1.0,,,,
68,72,576,0.6165002864645877,0,0.6165002864645877,1.0,,,,
69,73,438,0.6645324674182352,0,0.6645324674182352,1.0,,,,
70,74,444,0.6485232949963704,0,0.6485232949963704,1.0,,,,
71,75,450,0.6308467658571936,0,0.6308467658571936,1.0,,,,
72,76,456,0.6112485460222787,0,0.6112485460222787,1.0,,,,
73,77,308,0.681332980293268,0,0.681332980293268,1.0,,,,
74,78,312,0.6635042776226947,0,0.6635042776226947,1.0,,,,
75,79,316,0.6431710847062674,0,0.6431710847062674,1.0,,,,
76,80,320,0.6197923200202937,0,0.6197923200202937,1.0,,,,
77,81,162,0.7321856682798791,0,0.7321856682798791,1.0,,,,
78,82,164,0.714186864338689,0,0.714186864338689,1.0,,,,
79,83,166,0.6922399603669924,0,0.6922399603669924,1.0,,,,
80,84,168,0.6649186644410968,0,0.6649186644410968,1.0,,,,
81,85,170,0.6300253115116949,0,0.6300253115116949,1.0,,,,
0,4,432520,0.6065330783393672,0,0.6065330783393672,1.0,,,,
1,5,381190,0.6065349414713513,0,0.6065349414713513,1.0,,,,
2,6,338064,0.606531457134543,0,0.606531457134543,1.0,,,,
3,7,301266,0.6065399560924871,0,0.6065399560924871,1.0,,,,
4,8,269488,0.606543635219964,0,0.606543635219964,1.0,,,,
5,9,241740,0.6065485748294056,0,0.6065485748294056,1.0,,,,
6,10,217300,0.6065340882232267,0,0.6065340882232267,1.0,,,,
7,11,195558,0.6065448667627691,0,0.6065448667627691,1.0,,,,
8,12,176088,0.6065633888179323,0,0.6065633888179323,1.0,,,,
9,13,158574,0.6065342409950527,0,0.6065342409950527,1.0,,,,
10,14,142660,0.6065655867638717,0,0.6065655867638717,1.0,,,,
11,15,128190,0.6065346852779009,0,0.6065346852779009,1.0,,,,
12,16,114912,0.6065520950642141,0,0.6065520950642141,1.0,,,,
13,17,102680,0.6066074540855032,0,0.6066074540855032,1.0,,,,
14,18,91404,0.6065992885456216,0,0.6065992885456216,1.0,,,,
15,19,80940,0.6065981153401008,0,0.6065981153401008,1.0,,,,
16,20,71200,0.6065792204875822,0,0.6065792204875822,1.0,,,,
17,21,62076,0.6066346769814321,0,0.6066346769814321,1.0,,,,
18,22,53548,0.6065574467439544,0,0.6065574467439544,1.0,,,,
19,23,45494,0.6065889549623813,0,0.6065889549623813,1.0,,,,
20,24,37872,0.6066903288582022,0,0.6066903288582022,1.0,,,,
21,25,30650,0.6067258558543802,0,0.6067258558543802,1.0,,,,
22,26,23764,0.6067376520241267,0,0.6067376520241267,1.0,,,,
23,26,52,0.8764509488991296,0,0.8764509488991296,1.0,,,,
0,4,20379552,0.6065306973389211,0,0.6065306973389211,1.0,,,,
1,5,15410340,0.6065306656640924,0,0.6065306656640924,1.0,,,,
2,6,11904288,0.6065307439753421,0,0.6065307439753421,1.0,,,,
3,7,9289112,0.6065309553372714,0,0.6065309553372714,1.0,,,,
4,8,7256896,0.6065310257575712,0,0.6065310257575712,1.0,,,,
5,9,5626818,0.6065312683216021,0,0.6065312683216021,1.0,,,,
6,10,4285380,0.6065314148764634,0,0.6065314148764634,1.0,,,,
7,11,3157308,0.6065308795217601,0,0.6065308795217601,1.0,,,,
8,12,2190000,0.6065316479691106,0,0.6065316479691106,1.0,,,,
9,12,24,0.8764465841738636,0,0.8764465841738636,1.0,,,,
0,4,120420864,0.6065306626997506,0,0.6065306626997506,1.0,,,,
1,5,113675790,0.6065306704388429,0,0.6065306704388429,1.0,,,,
2,6,101894412,0.6065306859896337,0,0.6065306859896337,1.0,,,,
3,7,76039600,0.6065306712384358,0,0.6065306712384358,1.0,,,,
4,7,14,0.8759898791245402,0,0.8759898791245402,1.0,,,,
0,4,367272,0.6065321460602084,0,0.6065321460602084,1.0,,,,
1,5,330810,0.6065311421252138,0,0.6065311421252138,1.0,,,,
2,6,367272,0.6065321460602084,0,0.6065321460602084,1.0,,,,
3,7,340438,0.6065344326053709,0,0.6065344326053709,1.0,,,,
4,8,367264,0.6065374808928213,0,0.6065374808928213,1.0,,,,
5,9,346032,0.6065433132831197,0,0.6065433132831197,1.0,,,,
6,10,367260,0.6065401483352395,0,0.6065401483352395,1.0,,,,
7,11,349712,0.6065350814188485,0,0.6065350814188485,1.0,,,,
8,12,367272,0.6065321460602084,0,0.6065321460602084,1.0,,,,
9,13,352300,0.6065344822851471,0,0.6065344822851471,1.0,,,,
10,14,367248,0.606548150659665,0,0.606548150659665,1.0,,,,
11,15,329130,0.606546752496533,0,0.606546752496533,1.0,,,,
12,16,341888,0.6065330927799624,0,0.6065330927799624,1.0,,,,
13,17,297432,0.6065494298140458,0,0.6065494298140458,1.0,,,,
14,18,308232,0.6065550050347204,0,0.6065550050347204,1.0,,,,
15,19,268660,0.6065500333407121,0,0.6065500333407121,1.0,,,,
16,20,277880,0.6065361938804903,0,0.6065361938804903,1.0,,,,
17,21,242424,0.6065394302234475,0,0.6065394302234475,1.0,,,,
18,22,250272,0.6065515383459521,0,0.6065515383459521,1.0,,,,
19,23,218362,0.6065482603636597,0,0.6065482603636597,1.0,,,,
20,24,225072,0.6065613434679997,0,0.6065613434679997,1.0,,,,
21,25,196200,0.6065789749168395,0,0.6065789749168395,1.0,,,,
22,26,201968,0.6065572005485517,0,0.6065572005485517,1.0,,,,
23,27,175770,0.6065465413060017,0,0.6065465413060017,1.0,,,,
24,28,180656,0.606587626788884,0,0.606587626788884,1.0,,,,
25,29,156774,0.6065822524480284,0,0.6065822524480284,1.0,,,,
26,30,160980,0.6065637088619003,0,0.6065637088619003,1.0,,,,
27,31,139128,0.6065604283865482,0,0.6065604283865482,1.0,,,,
28,32,142656,0.6066268738999218,0,0.6066268738999218,1.0,,,,
29,33,122628,0.6065707854493264,0,0.6065707854493264,1.0,,,,
30,34,125664,0.6065350402357541,0,0.6065350402357541,1.0,,,,
31,35,107170,0.6065724250039547,0,0.6065724250039547,1.0,,,,
32,36,109656,0.6066841077405886,0,0.6066841077405886,1.0,,,,
33,37,92648,0.6065426163951401,0,0.6065426163951401,1.0,,,,
34,38,94696,0.6067058184822262,0,0.6067058184822262,1.0,,,,
35,39,78936,0.6065436795629717,0,0.6065436795629717,1.0,,,,
36,40,80640,0.6066349221315441,0,0.6066349221315441,1.0,,,,
37,41,65928,0.6066485825641341,0,0.6066485825641341,1.0,,,,
38,42,67284,0.6068017237391056,0,0.6068017237391056,1.0,,,,
39,43,53578,0.6067456756750883,0,0.6067456756750883,1.0,,,,
40,44,54648,0.6068702640608155,0,0.6068702640608155,1.0,,,,
41,45,41850,0.6065376625319991,0,0.6065376625319991,1.0,,,,
42,46,42596,0.6070193034857841,0,0.6070193034857841,1.0,,,,
43,47,30456,0.6072805830275525,0,0.6072805830275525,1.0,,,,
44,48,31104,0.606769928657473,0,0.606769928657473,1.0,,,,
45,49,19600,0.6065492229132613,0,0.6065492229132613,1.0,,,,
46,50,19900,0.607341170013394,0,0.607341170013394,1.0,,,,
47,50,100,0.8760121822180212,0,0.8760121822180212,1.0,,,,
