,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std _dev,raw_quops_rate,total_shots,total_kept_shots,total_discarded_shots,num_mcs,shots_per_mc,start_time,end_time
0,8,1408,0.7373193084169553,0.021897890078382935,0.7012972792380153,1,220.7746919998668,,406.1047539245999,4000,3365,635,20,200,2026-05-29 06:23:00,2026-05-29 13:27:00
1,16,1504,0.7377637552836614,0.02079386605973224,0.7035578456154019,1,343.7540766614043,,631.5579789971237,4000,3200,800,20,200,2026-06-02 05:47:00,2026-06-02 10:31:00
2,16,1824,0.6790892419078467,0.02333792759277686,0.6406983510177288,1,246.52542636238906,,534.574228281565,4000,3046,954,20,200,2026-06-03 07:24:00,2026-06-03 14:01:00
3,32,1600,0.7322524849824872,0.02631352674957624,0.6889667334794343,1,,,,4000,2747,1253,20,200,,
4,32,1408,0.7582426264595362,0.023328769612062126,0.719866800447694,1,,,,4000,2941,1059,20,200,,
5,64,1408,0.7568933732720817,0.030343120775493237,0.7069789395963954,1,,,,4000,2442,1558,20,200,,
6,64,1280,0.7959431203209043,0.02590463106323412,0.7533300022218842,1,,,,4000,2578,1422,20,200,,
7,98,1372,0.7070825624008464,0.03471840939231405,0.6499707789504898,1,,,,4000,1945,2055,20,200,,
8,98,881,0.8612698475538377,0.026699352135872476,0.8173494132903275,1,,,,4000,2380,1620,20,200,,
