,Circuit,D:SP,F:Depth,F:Width,F:2QGC
10,"[Gxpi:0Gympi2:1Gzpi:3][Gcnot:0:1Gypi:3][Gcnot:0:1Gxpi2:3][Gcnot:0:1Gxpi2:3][Gcnot:0:3Gypi2:1][Gcnot:1:0Gxpi:3][Gypi:0Gxpi2:1Gxpi:3][Gcnot:0:3Gympi2:1][Gcnot:3:0Gypi2:1][Gcnot:0:1Gxpi:3][Gympi2:0Gxpi:1Gxpi2:3][Gcnot:0:1Gxpi:3][Gcnot:3:0Gympi2:1][Gcnot:0:3Gxpi:1][Gcnot:0:1Gxpi2:3][Gcnot:0:1Gxpi2:3][Gxpi2:0Gxmpi2:1Gypi2:3][Gcnot:1:0Gypi:3]@(0,1,2,3)",0.98243575393807,18,4,14
11,"Gxpi:2Gxpi:2Gympi2:2Gxpi:2Gxpi:2Gzpi:2Gxmpi2:2Gympi2:2Gzpi:2Gympi2:2Gypi:2Gxpi:2Gypi:2Gxpi2:2Gympi2:2Gxpi:2Gxpi:2Gxpi2:2Gxmpi2:2Gxmpi2:2Gxpi:2Gypi2:2Gypi:2Gxpi:2Gxpi:2Gxpi2:2Gzpi:2Gxpi:2Gypi:2Gypi2:2Gxmpi2:2Gxpi:2Gxpi2:2Gypi:2Gxpi2:2Gzpi:2Gxpi:2Gxpi2:2Gxpi:2Gypi2:2Gxpi2:2Gypi:2Gypi:2Gxmpi2:2Gzpi:2@(0,1,2,3)",0.9959916353704888,45,4,0
12,"Gcnot:2:3Gcnot:2:3Gcnot:2:3Gcnot:3:2[Gxmpi2:2Gxpi:3]Gcnot:2:3[Gxpi2:2Gzpi:3]Gcnot:3:2Gcnot:3:2[Gzpi:2Gxpi2:3]Gcnot:3:2[Gzpi:2Gypi2:3]Gcnot:2:3Gcnot:2:3[Gxpi:2Gxmpi2:3]Gcnot:2:3Gcnot:3:2Gcnot:2:3[Gympi2:2Gypi:3]Gcnot:3:2Gcnot:2:3Gcnot:2:3Gcnot:3:2[Gzpi:2Gzpi:3]Gcnot:2:3Gcnot:2:3[Gxmpi2:2Gypi2:3][Gypi2:2Gxpi2:3]@(0,1,2,3)",0.9686615831081324,28,4,19
13,"[Gzpi:0Gzpi:2Gypi:3][Gcnot:2:3Gxmpi2:0][Gzpi:0Gxpi:2Gypi:3][Gympi2:0Gxpi2:2Gypi2:3][Gxmpi2:0Gxmpi2:2Gzpi:3][Gxpi:0Gzpi:2Gxpi2:3][Gxpi2:0Gxpi:2Gympi2:3][Gzpi:0Gzpi:2Gzpi:3][Gxpi:0Gypi:2Gypi:3][Gxpi2:0Gzpi:2Gypi:3][Gcnot:2:3Gxmpi2:0][Gympi2:0Gypi2:2Gypi:3][Gxpi2:0Gxpi2:2Gypi:3][Gypi2:0Gympi2:2Gzpi:3][Gxmpi2:0Gxpi2:2Gxpi:3][Gcnot:0:3Gxpi2:2][Gxpi2:0Gympi2:2Gzpi:3][Gxmpi2:0Gympi2:2Gypi2:3][Gxpi:0Gxpi2:2Gzpi:3][Gzpi:0Gxpi2:2Gxpi2:3][Gypi2:0Gxpi2:2Gypi:3][Gxpi2:0Gxmpi2:2Gzpi:3][Gxmpi2:0Gzpi:2Gxpi:3][Gxpi:0Gxmpi2:2Gxpi:3][Gxpi2:0Gympi2:2Gympi2:3]@(0,1,2,3)",0.9915769457594172,25,4,3
14,"Gxpi:3Gxmpi2:3Gxpi2:3Gypi2:3Gxmpi2:3Gxpi2:3Gxpi2:3Gxpi:3@(0,1,2,3)",0.9969260291029436,8,4,0
15,"[Gypi:0Gypi2:1][Gxmpi2:0Gxmpi2:1][Gxmpi2:0Gxmpi2:1][Gxmpi2:0Gypi2:1][Gxpi:0Gzpi:1][Gxmpi2:0Gypi2:1][Gxpi:0Gzpi:1][Gzpi:0Gxmpi2:1][Gxpi:0Gzpi:1][Gxpi2:0Gxmpi2:1][Gympi2:0Gxpi:1][Gxmpi2:0Gympi2:1][Gxpi2:0Gypi:1][Gympi2:0Gympi2:1][Gypi:0Gympi2:1][Gxmpi2:0Gxmpi2:1][Gzpi:0Gxpi2:1][Gzpi:0Gypi:1][Gzpi:0Gxpi:1][Gxpi:0Gypi2:1][Gxpi:0Gzpi:1][Gxpi2:0Gzpi:1][Gxpi2:0Gzpi:1][Gxmpi2:0Gxmpi2:1][Gympi2:0Gxpi2:1][Gzpi:0Gzpi:1][Gxpi:0Gxpi2:1]Gcnot:1:0[Gxpi:0Gypi2:1][Gxpi2:0Gympi2:1][Gzpi:0Gxpi2:1][Gxpi2:0Gxmpi2:1]Gcnot:0:1[Gxpi:0Gzpi:1][Gxpi:0Gxpi:1]@(0,1,2,3)",0.9921126047641182,35,4,2
16,"[Gypi:0Gxpi2:1Gzpi:2][Gcnot:1:0Gxmpi2:2][Gcnot:2:1Gxpi2:0][Gcnot:1:0Gxpi:2][Gypi:0Gypi2:1Gympi2:2]@(0,1,2,3)",0.9958803949047252,5,4,3
17,"[Gcnot:2:1Gzpi:0Gxmpi2:3][Gzpi:0Gzpi:1Gympi2:2Gxpi:3][Gzpi:0Gxpi:1Gxmpi2:2Gxpi2:3][Gcnot:3:2Gzpi:0Gzpi:1][Gcnot:2:1Gxpi:0Gxpi:3][Gcnot:0:3Gxpi2:1Gypi:2][Gcnot:0:3Gympi2:1Gxpi:2][Gcnot:3:0Gzpi:1Gypi2:2][Gypi2:0Gypi2:1Gxpi2:2Gxmpi2:3][Gcnot:2:3Gzpi:0Gympi2:1][Gxpi:0Gympi2:1Gxmpi2:2Gxpi:3][Gxpi:0Gxmpi2:1Gxpi:2Gxpi2:3][Gxpi2:0Gxpi2:1Gzpi:2Gypi2:3][Gcnot:2:1Gcnot:3:0][Gcnot:1:0Gcnot:3:2][Gcnot:2:1Gxpi:0Gzpi:3][Gxmpi2:0Gympi2:1Gzpi:2Gympi2:3][Gcnot:2:1Gcnot:3:0][Gcnot:3:0Gxpi:1Gypi:2][Gxpi:0Gzpi:1Gypi2:2Gxmpi2:3]@(0,1,2,3)",0.9763871780753276,20,4,15
18,"[Gxpi:0Gxmpi2:1Gxmpi2:2Gympi2:3][Gzpi:0Gxpi:1Gympi2:2Gzpi:3][Gcnot:1:2Gcnot:3:0][Gcnot:1:0Gxmpi2:2Gxmpi2:3][Gxpi2:0Gympi2:1Gxpi2:2Gxpi2:3][Gcnot:1:0Gcnot:2:3][Gxpi:0Gypi:1Gzpi:2Gypi2:3][Gcnot:3:2Gxpi2:0Gypi:1][Gcnot:2:3Gypi2:0Gxmpi2:1][Gypi:0Gxmpi2:1Gxpi2:2Gxpi2:3][Gcnot:0:1Gypi2:2Gxpi2:3][Gxmpi2:0Gzpi:1Gypi2:2Gypi:3][Gzpi:0Gxmpi2:1Gypi2:2Gxpi2:3][Gxmpi2:0Gypi2:1Gxmpi2:2Gxpi2:3][Gxpi2:0Gypi:1Gxpi2:2Gxmpi2:3][Gympi2:0Gypi2:1Gxmpi2:2Gypi:3][Gcnot:0:3Gympi2:1Gypi:2][Gcnot:0:1Gcnot:3:2][Gzpi:0Gxmpi2:1Gxpi2:2Gympi2:3][Gympi2:0Gypi:1Gxpi:2Gzpi:3][Gxpi:0Gzpi:1Gxmpi2:2Gypi2:3]@(0,1,2,3)",0.9829511119200024,21,4,11
19,"Gypi:2Gxpi2:2Gxpi2:2Gypi2:2Gympi2:2Gxmpi2:2Gxmpi2:2Gympi2:2Gxpi2:2Gxpi:2Gympi2:2Gypi:2Gzpi:2Gzpi:2Gypi2:2Gympi2:2Gympi2:2Gzpi:2Gympi2:2Gypi2:2Gympi2:2Gympi2:2Gxmpi2:2Gypi:2Gympi2:2Gympi2:2Gypi:2Gzpi:2Gxmpi2:2Gzpi:2Gypi:2Gypi:2Gzpi:2Gxmpi2:2Gympi2:2Gxpi:2Gympi2:2Gxpi2:2Gypi2:2Gypi2:2Gxmpi2:2Gympi2:2Gxmpi2:2Gypi:2Gzpi:2Gypi:2Gzpi:2Gxmpi2:2Gxmpi2:2Gypi2:2Gzpi:2Gzpi:2Gypi:2Gxpi2:2Gxmpi2:2Gypi:2Gxmpi2:2Gzpi:2Gzpi:2Gxpi:2Gympi2:2Gypi2:2Gxmpi2:2Gypi:2Gypi2:2Gxpi:2Gzpi:2Gxpi2:2Gympi2:2Gympi2:2Gypi:2Gxpi2:2Gypi:2Gzpi:2Gxmpi2:2Gzpi:2Gzpi:2Gympi2:2Gympi2:2Gxmpi2:2Gxmpi2:2Gxmpi2:2Gxpi:2Gxpi:2Gzpi:2Gzpi:2Gzpi:2Gympi2:2Gxmpi2:2Gzpi:2Gzpi:2Gxpi2:2Gzpi:2Gympi2:2Gypi:2Gympi2:2Gxpi2:2Gxmpi2:2Gypi2:2Gxpi:2Gzpi:2Gypi:2Gypi2:2Gzpi:2Gypi:2Gypi2:2Gxpi2:2Gxpi2:2Gypi2:2Gxpi2:2Gxpi2:2Gympi2:2Gypi2:2Gxmpi2:2Gypi:2Gympi2:2Gympi2:2Gxmpi2:2Gzpi:2Gypi2:2Gympi2:2Gzpi:2Gypi:2Gxpi:2Gypi:2Gxmpi2:2Gypi:2Gypi:2Gxpi2:2@(0,1,2,3)",0.989064115017352,129,4,0
