,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,total_shots,total_kept_shots,total_discarded_shots,num_mcs,shots_per_mc,start_time,end_time
0,8,1408,0.6676533511647406,0.021296359780739814,0.6326208393254236,1,197.36839126688167,,442.76729559748424,4000,3365,635,20,200,2026-05-29 06:23:00,2026-05-29 13:27:00
1,16,1504,0.6547318756683981,0.020263525486472807,0.6213983762431503,1,302.68799945561176,,706.1032863849765,4000,3200,800,20,200,2026-06-02 05:47:00,2026-06-02 10:31:00
2,16,1824,0.6239847794698362,0.022930524902713998,0.5862640660048717,1,238.51794362326675,,612.5944584382871,4000,3046,954,20,200,2026-06-03 07:24:00,2026-06-03 14:01:00
3,32,1600,0.6412232268843407,0.025909920368982323,0.5986014078773648,1,,,,4000,2747,1253,20,200,,
4,32,1408,0.6720064849606182,0.02357671848679349,0.6332227830498429,1,,,,4000,2941,1059,20,200,,
5,64,1408,0.6270173765335479,0.029124891152026194,0.5791069305884649,1,,,,4000,2442,1558,20,200,,
6,64,1280,0.6749368034221517,0.025623986926759178,0.6327853449276328,1,,,,4000,2578,1422,20,200,,
7,98,1372,0.5157617340738792,0.03010866503898091,0.46623298008475555,1,,,,4000,1945,2055,20,200,,
8,98,881,0.695743667052896,0.027295759192719864,0.6508421431808719,1,,,,4000,2380,1620,20,200,,
