,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,raw_quops_rate_std_dev
0,4,432520,0.6065330783393672,0,0.6065330783393672,1.0,,,,
1,5,381190,0.6065349414713513,0,0.6065349414713513,1.0,,,,
2,6,338064,0.606531457134543,0,0.606531457134543,1.0,,,,
3,7,301266,0.6065399560924871,0,0.6065399560924871,1.0,,,,
4,8,269488,0.606543635219964,0,0.606543635219964,1.0,,,,
5,9,241740,0.6065485748294056,0,0.6065485748294056,1.0,,,,
6,10,217300,0.6065340882232267,0,0.6065340882232267,1.0,,,,
7,11,195558,0.6065448667627691,0,0.6065448667627691,1.0,,,,
8,12,176088,0.6065633888179323,0,0.6065633888179323,1.0,,,,
9,13,158574,0.6065342409950527,0,0.6065342409950527,1.0,,,,
10,14,142660,0.6065655867638717,0,0.6065655867638717,1.0,,,,
11,15,128190,0.6065346852779009,0,0.6065346852779009,1.0,,,,
12,16,114912,0.6065520950642141,0,0.6065520950642141,1.0,,,,
13,17,102680,0.6066074540855032,0,0.6066074540855032,1.0,,,,
14,18,91404,0.6065992885456216,0,0.6065992885456216,1.0,,,,
15,19,80940,0.6065981153401008,0,0.6065981153401008,1.0,,,,
16,20,71200,0.6065792204875822,0,0.6065792204875822,1.0,,,,
17,21,62076,0.6066346769814321,0,0.6066346769814321,1.0,,,,
18,22,53548,0.6065574467439544,0,0.6065574467439544,1.0,,,,
19,23,45494,0.6065889549623813,0,0.6065889549623813,1.0,,,,
20,24,37872,0.6066903288582022,0,0.6066903288582022,1.0,,,,
21,25,30650,0.6067258558543802,0,0.6067258558543802,1.0,,,,
22,26,23764,0.6067376520241267,0,0.6067376520241267,1.0,,,,
23,26,52,0.8764509488991296,0,0.8764509488991296,1.0,,,,
