,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,raw_quops_rate_std_dev
0,4,20379552,0.6065306973389211,0,0.6065306973389211,1.0,,,,
1,5,15410340,0.6065306656640924,0,0.6065306656640924,1.0,,,,
2,6,11904288,0.6065307439753421,0,0.6065307439753421,1.0,,,,
3,7,9289112,0.6065309553372714,0,0.6065309553372714,1.0,,,,
4,8,7256896,0.6065310257575712,0,0.6065310257575712,1.0,,,,
5,9,5626818,0.6065312683216021,0,0.6065312683216021,1.0,,,,
6,10,4285380,0.6065314148764634,0,0.6065314148764634,1.0,,,,
7,11,3157308,0.6065308795217601,0,0.6065308795217601,1.0,,,,
8,12,2190000,0.6065316479691106,0,0.6065316479691106,1.0,,,,
9,12,24,0.8764465841738636,0,0.8764465841738636,1.0,,,,
