Circuit,D:SP,F:Depth,F:Width,F:2QGC
"[Gxmpi2:0Gxmpi2:1Gypi2:2Gxpi2:3][Gcnot:1:2Gcnot:3:0][Gcnot:1:2Gxpi2:0Gzpi:3][Gxmpi2:0Gxmpi2:1Gympi2:2Gympi2:3][Gzpi:0Gxmpi2:1Gympi2:2Gxmpi2:3][Gympi2:0Gympi2:1Gypi2:2Gypi:3][Gcnot:1:2Gxpi2:0Gympi2:3][Gypi2:0Gypi:1Gxpi2:2Gypi:3][Gcnot:1:2Gxpi2:0Gympi2:3]@(0,1,2,3)",0.9933687295381172,9,4,5
"[Gxmpi2:0Gxmpi2:1Gxpi:2Gxpi2:3][Gcnot:2:1Gcnot:3:0][Gcnot:0:1Gypi:2Gxpi:3][Gcnot:0:3Gcnot:1:2]@(0,1,2,3)",0.9971099454144573,4,4,5
"[Gcnot:0:1Gcnot:2:3][Gcnot:1:2Gzpi:0Gzpi:3][Gympi2:0Gypi:1Gypi:2Gzpi:3]@(0,1,2,3)",0.9980166158984902,3,4,3
"[Gypi:0Gxpi2:1Gympi2:2Gxpi:3][Gcnot:1:2Gxpi2:0Gxpi2:3][Gcnot:0:1Gypi2:2Gxmpi2:3][Gcnot:0:3Gypi:1Gzpi:2][Gcnot:2:1Gzpi:0Gympi2:3][Gympi2:0Gympi2:1Gzpi:2Gzpi:3][Gypi:0Gympi2:1Gympi2:2Gympi2:3][Gxpi2:0Gypi:1Gypi2:2Gxmpi2:3][Gypi2:0Gympi2:1Gxmpi2:2Gzpi:3][Gxmpi2:0Gympi2:1Gxpi2:2Gypi2:3][Gzpi:0Gypi2:1Gypi:2Gypi:3][Gcnot:1:0Gypi:2Gxpi2:3][Gcnot:2:3Gypi:0Gxpi2:1][Gcnot:2:1Gxmpi2:0Gxpi:3][Gypi2:0Gxmpi2:1Gxpi2:2Gxpi:3][Gxmpi2:0Gxpi:1Gypi:2Gypi:3][Gcnot:1:0Gzpi:2Gympi2:3][Gcnot:0:3Gympi2:1Gxpi:2][Gypi2:0Gxpi:1Gypi:2Gypi:3][Gcnot:2:3Gxpi:0Gympi2:1][Gxpi:0Gypi2:1Gypi2:2Gympi2:3]@(0,1,2,3)",0.9814472566842107,21,4,10
"[Gcnot:2:3Gypi:0][Gcnot:3:2Gypi2:0][Gypi2:0Gxpi2:2Gypi:3][Gypi2:0Gzpi:2Gypi2:3][Gympi2:0Gzpi:2Gypi2:3][Gypi2:0Gxpi2:2Gzpi:3][Gypi:0Gympi2:2Gympi2:3][Gxmpi2:0Gxpi2:2Gzpi:3][Gypi2:0Gypi:2Gxpi2:3][Gypi2:0Gxmpi2:2Gypi:3][Gcnot:0:3Gxpi2:2][Gcnot:2:3Gympi2:0][Gympi2:0Gympi2:2Gxpi:3][Gcnot:3:0Gzpi:2][Gxmpi2:0Gypi2:2Gympi2:3][Gcnot:3:2Gxpi:0][Gypi:0Gympi2:2Gxpi:3]@(0,1,2,3)",0.9909746263219421,17,4,6
"[Gympi2:0Gypi:1Gxpi:3][Gcnot:3:0Gzpi:1][Gcnot:0:3Gxpi2:1][Gxmpi2:0Gzpi:1Gxpi:3][Gzpi:0Gzpi:1Gxpi:3][Gxpi2:0Gypi:1Gxmpi2:3][Gcnot:0:3Gxpi2:1][Gcnot:1:0Gypi:3][Gcnot:0:1Gympi2:3][Gxpi:0Gzpi:1Gxmpi2:3][Gympi2:0Gzpi:1Gypi2:3][Gxpi:0Gzpi:1Gympi2:3][Gzpi:0Gxpi2:1Gypi:3][Gcnot:0:1Gxmpi2:3][Gcnot:0:1Gympi2:3][Gypi:0Gympi2:1Gxpi:3][Gympi2:0Gympi2:1Gxpi2:3][Gcnot:1:0Gzpi:3][Gcnot:3:0Gympi2:1][Gxmpi2:0Gypi2:1Gypi2:3][Gcnot:1:0Gympi2:3]@(0,1,2,3)",0.9897765245155894,21,4,10
"[Gcnot:1:0Gcnot:2:3][Gxpi2:0Gxpi2:1Gzpi:2Gxmpi2:3][Gympi2:0Gxpi2:1Gypi2:2Gxmpi2:3][Gypi:0Gypi:1Gympi2:2Gxpi:3][Gcnot:2:1Gcnot:3:0][Gcnot:3:2Gxpi2:0Gzpi:1][Gcnot:0:3Gcnot:1:2][Gxpi2:0Gypi:1Gzpi:2Gypi:3]@(0,1,2,3)",0.9928106812737655,8,4,7
"[Gypi:0Gxmpi2:3][Gxpi2:0Gxpi:3][Gxpi2:0Gympi2:3]Gcnot:3:0@(0,1,2,3)",0.9985077816627714,4,4,1
"Gxmpi2:1Gxpi2:1Gxpi:1Gxpi2:1Gzpi:1Gympi2:1Gypi2:1Gympi2:1Gxmpi2:1Gxpi2:1Gympi2:1Gxpi2:1Gxpi:1Gxmpi2:1Gzpi:1Gypi2:1Gxpi:1Gxmpi2:1Gypi:1Gxpi2:1Gympi2:1Gypi:1Gxpi2:1Gypi2:1Gympi2:1Gxmpi2:1Gxmpi2:1Gzpi:1Gxmpi2:1Gxpi:1Gxpi2:1Gxmpi2:1Gypi2:1Gxpi2:1Gypi2:1Gympi2:1Gypi2:1Gxpi2:1Gxpi2:1Gxpi:1Gxpi2:1Gypi2:1Gxmpi2:1Gypi2:1Gxmpi2:1Gzpi:1Gxmpi2:1Gzpi:1Gxmpi2:1Gypi2:1Gympi2:1Gzpi:1Gzpi:1Gzpi:1Gypi2:1Gxpi:1Gxpi2:1Gympi2:1Gxmpi2:1Gympi2:1Gxmpi2:1Gxmpi2:1Gypi:1Gzpi:1Gxpi:1Gzpi:1Gypi:1Gxpi:1Gypi:1Gypi:1Gzpi:1Gxpi2:1Gxpi2:1Gxpi:1Gzpi:1Gxmpi2:1Gypi:1Gzpi:1Gypi:1Gypi:1Gzpi:1Gxmpi2:1Gxpi:1Gypi2:1Gypi2:1Gympi2:1Gypi:1Gxpi2:1Gxpi:1Gxpi:1Gxpi2:1Gxpi2:1Gxmpi2:1Gypi2:1Gzpi:1Gympi2:1Gxmpi2:1Gzpi:1Gympi2:1Gympi2:1Gxmpi2:1Gypi:1Gxmpi2:1Gxpi2:1Gxmpi2:1Gxmpi2:1Gzpi:1Gxpi2:1Gzpi:1Gzpi:1Gypi2:1Gzpi:1Gypi:1Gympi2:1Gxpi2:1Gxpi:1Gxmpi2:1Gxpi2:1Gypi2:1Gxmpi2:1Gympi2:1Gypi:1Gxmpi2:1Gympi2:1Gxmpi2:1Gxpi:1Gympi2:1Gzpi:1Gypi2:1Gypi:1Gypi2:1Gzpi:1Gypi2:1Gxpi:1Gypi:1Gxpi2:1Gxmpi2:1Gympi2:1Gxpi:1Gypi2:1Gxpi:1@(0,1,2,3)",0.952080278214524,141,4,0
"[Gympi2:2Gypi2:3][Gxpi2:2Gxmpi2:3][Gympi2:2Gxpi2:3][Gympi2:2Gympi2:3][Gypi2:2Gxmpi2:3][Gxpi2:2Gxpi2:3][Gypi2:2Gypi2:3][Gxpi2:2Gypi:3][Gypi:2Gxpi2:3]Gcnot:3:2[Gzpi:2Gypi:3][Gxpi2:2Gxpi:3][Gxpi:2Gxpi2:3][Gzpi:2Gxpi:3][Gypi:2Gypi2:3][Gxpi:2Gxmpi2:3][Gxmpi2:2Gzpi:3][Gxpi:2Gympi2:3][Gxmpi2:2Gympi2:3][Gxpi2:2Gympi2:3][Gympi2:2Gxpi:3]Gcnot:2:3[Gxpi2:2Gxpi:3][Gzpi:2Gypi:3][Gypi:2Gypi:3][Gympi2:2Gxpi2:3][Gypi2:2Gxpi2:3][Gzpi:2Gxpi:3][Gxpi:2Gxpi2:3][Gympi2:2Gypi:3]Gcnot:2:3[Gypi:2Gzpi:3][Gxpi:2Gxpi:3][Gxpi:2Gxmpi2:3][Gypi2:2Gypi:3]Gcnot:2:3[Gzpi:2Gxpi:3][Gypi:2Gxpi:3][Gxpi2:2Gzpi:3]Gcnot:3:2@(0,1,2,3)",0.9824393394159339,40,4,5
