,width,size,polarization,pol_std_dev,pol_95%_ci_lower,pol_95%_ci_upper,quops_rate,quops_rate_std_dev,raw_quops_rate,raw_quops_rate_std_dev
0,4,139384744,0.6065306638959261,0,0.6065306638959261,1.0,,,,
1,5,139384740,0.6065306740930869,0,0.6065306740930869,1.0,,,,
2,6,139384740,0.6065306740930869,0,0.6065306740930869,1.0,,,,
3,7,139384742,0.6065306689945065,0,0.6065306689945065,1.0,,,,
4,8,139384736,0.6065306775039186,0,0.6065306775039186,1.0,,,,
5,9,139018374,0.6065306871536167,0,0.6065306871536167,1.0,,,,
6,10,138588640,0.6065306676928953,0,0.6065306676928953,1.0,,,,
7,11,138137274,0.6065306879200874,0,0.6065306879200874,1.0,,,,
8,12,137662656,0.6065306627013922,0,0.6065306627013922,1.0,,,,
9,13,137162870,0.6065306984049046,0,0.6065306984049046,1.0,,,,
10,14,136635940,0.60653067688471,0,0.60653067688471,1.0,,,,
11,15,136079520,0.6065307030312008,0,0.6065307030312008,1.0,,,,
12,16,135491136,0.6065306651787793,0,0.6065306651787793,1.0,,,,
13,17,134867868,0.6065306947119442,0,0.6065306947119442,1.0,,,,
14,18,134206596,0.6065306690857927,0,0.6065306690857927,1.0,,,,
15,19,133503652,0.6065307180935744,0,0.6065307180935744,1.0,,,,
16,20,132755080,0.6065306619398155,0,0.6065306619398155,1.0,,,,
17,21,131956188,0.6065306628938402,0,0.6065306628938402,1.0,,,,
18,22,131101740,0.606530686470159,0,0.606530686470159,1.0,,,,
19,23,130185750,0.6065307233880248,0,0.6065307233880248,1.0,,,,
20,24,129201360,0.6065306828486909,0,0.6065306828486909,1.0,,,,
21,25,128140550,0.6065306600040962,0,0.6065306600040962,1.0,,,,
22,26,126994036,0.606530707531345,0,0.606530707531345,1.0,,,,
23,27,125751042,0.6065307359796184,0,0.6065307359796184,1.0,,,,
24,28,124398848,0.6065307496213916,0,0.6065307496213916,1.0,,,,
25,29,122922416,0.6065306888804866,0,0.6065306888804866,1.0,,,,
26,30,121303680,0.6065307550101606,0,0.6065307550101606,1.0,,,,
27,31,119521120,0.6065307722687313,0,0.6065307722687313,1.0,,,,
28,32,117548544,0.6065306648930541,0,0.6065306648930541,1.0,,,,
29,33,115353678,0.6065306950195496,0,0.6065306950195496,1.0,,,,
30,34,112896728,0.606530788326609,0,0.606530788326609,1.0,,,,
31,35,110127850,0.6065306707234885,0,0.6065306707234885,1.0,,,,
32,36,106983288,0.6065307382516989,0,0.6065307382516989,1.0,,,,
33,37,103381034,0.6065307276527642,0,0.6065307276527642,1.0,,,,
34,38,99212984,0.60653079338983,0,0.60653079338983,1.0,,,,
35,39,94334136,0.6065308049603947,0,0.6065308049603947,1.0,,,,
36,40,88544960,0.6065307027852872,0,0.6065307027852872,1.0,,,,
37,41,81562858,0.6065307925628589,0,0.6065307925628589,1.0,,,,
38,42,72973824,0.606530736042111,0,0.606530736042111,1.0,,,,
39,42,84,0.8769004402632273,0,0.8769004402632273,1.0,,,,
